"Field Name","Actual Value","Expected Value","Match Result"
"applicant.trustees[2].person.postalAddress.country.code",,"AU","❌"
"applicant.trustees[1].person.emailAddresses[0].type",,"work","❌"
"applicant.trustees[2].person.emailAddresses[0].type",,"work","❌"
"applicant.trustees[1].person.emailAddresses[0].value",,"duc.pham@yahoo.com","❌"
"applicant.trustees[2].person.emailAddresses[0].value",,"van.anh@yahoo.com","❌"
"applicant.trustees[1].person.emailAddresses[0].isPreferred",,true,"❌"
"applicant.trustees[2].person.emailAddresses[0].isPreferred",,true,"❌"
"applicant.trustees[1].person.phoneNumbers[0].type",,"mobile","❌"
"applicant.trustees[2].person.phoneNumbers[0].type",,"mobile","❌"
"applicant.trustees[1].person.phoneNumbers[0].value",,"61424234234","❌"
"applicant.trustees[2].person.phoneNumbers[0].value",,"61424233242","❌"
"applicant.trustees[1].person.phoneNumbers[0].isPreferred",,true,"❌"
"applicant.trustees[2].person.phoneNumbers[0].isPreferred",,true,"❌"
"applicant.trustees[1].person.dateOfBirth",,"1997-09-10","❌"
"applicant.trustees[2].person.dateOfBirth",,"1996-10-12","❌"
"applicant.trustees[1].person.gender",,"male","❌"
"applicant.trustees[2].person.gender",,"other","❌"
"applicant.trustees[1].person.nationalities[0].country",,"AU","❌"
"applicant.trustees[2].person.nationalities[0].country",,"AU","❌"
"applicant.trustees[1].person.nationalities[0].type",,"citizen","❌"
"applicant.trustees[2].person.nationalities[0].type",,"citizen","❌"
"applicant.trustees[1].employment.type",,"ICT Managers","❌"
"applicant.trustees[2].employment.type",,"ICT Managers","❌"
"applicant.trustees[1].employment.category",,"Managers","❌"
"applicant.trustees[2].employment.category",,"Managers","❌"
"applicant.trustees[1].taxDetails[0].country",,"AU","❌"
"applicant.trustees[2].taxDetails[0].country",,"AU","❌"
"applicant.trustees[1].taxDetails[0].isSupplied",,false,"❌"
"applicant.trustees[2].taxDetails[0].isSupplied",,true,"❌"
"applicant.trustees[0].taxDetails[0].taxIdentificationNumber",,"170219941","❌"
"applicant.trustees[1].taxDetails[0].taxIdentificationNumber",,,"✅"
"applicant.trustees[2].taxDetails[0].taxIdentificationNumber",,"170219941","❌"
"applicant.trustees[1].taxDetails[0].nonSupplyReasonCode",,"000000000","❌"
"applicant.trustees[2].taxDetails[0].nonSupplyReasonCode",,,"✅"
"applicant.trustees[1].marketingOptedOut",,false,"❌"
"applicant.trustees[2].marketingOptedOut",,false,"❌"
"applicant.beneficiaryDetails[0].taxDetails[0].taxIdentificationNumber",,"170219941","❌"
"applicant.settlor.name.title",,,"✅"
"applicant.settlor.name.firstName",,,"✅"
"applicant.settlor.name.middleName",,,"✅"
"applicant.settlor.name.lastName",,,"✅"
"applicant.taxDetails[0].country",,"AU","❌"
"applicant.taxDetails[0].isSupplied",,true,"❌"
"applicant.taxDetails[0].taxIdentificationNumber",,"170219941","❌"
"applicant.taxDetails[0].nonSupplyReasonCode",,,"✅"
